names	Timepoint	Bio_Rep	files
RNA_0000_BR2	0000	2	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0000_S_2.1.1//quant.sf
RNA_0000_BR3	0000	3	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0000_S_3.1.1//quant.sf
RNA_0030_BR2	0030	2	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0030_S_2.1.1//quant.sf
RNA_0030_BR3	0030	3	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0030_S_3.1.1//quant.sf
RNA_0060_BR2	0060	2	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0060_S_2.1.1//quant.sf
RNA_0060_BR3	0060	3	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0060_S_3.1.1//quant.sf
RNA_0090_BR2	0090	2	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0090_S_2.1.1//quant.sf
RNA_0090_BR3	0090	3	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0090_S_3.1.1//quant.sf
RNA_0120_BR2	0120	2	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0120_S_2.1.1//quant.sf
RNA_0120_BR3	0120	3	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0120_S_3.1.1//quant.sf
RNA_0240_BR2	0240	2	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0240_S_2.1.1//quant.sf
RNA_0240_BR3	0240	3	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0240_S_3.1.1//quant.sf
RNA_0360_BR2	0360	2	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0360_S_2.1.1//quant.sf
RNA_0360_BR3	0360	3	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_0360_S_3.1.1//quant.sf
RNA_1440_BR2	1440	2	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_1440_S_2.1.1//quant.sf
RNA_1440_BR3	1440	3	inst/extdata/rna/quant/LIMA_RNA_THP1_WT_LPIF_1440_S_3.1.1//quant.sf
